procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 416500  30552 402948    0    0    47    29  864  387 18 33 49  0  0
 0  0      0 416540  30552 402944    0    0     0     0 3136 1112  1  1 98  0  0
 0  0      0 416244  30552 402948    0    0     0     0 3226 1140  4  2 94  0  0
 0  0      0 416276  30552 402948    0    0     0     0 2803  712  2  1 98  0  0
 0  0      0 416276  30552 402948    0    0     0     0 2955  856  1  0 99  0  0
 0  0      0 416260  30552 402948    0    0     0     0 2889  824  2  0 98  0  0
 1  0      0 416276  30560 402948    0    0     0    28 2766  764  2  1 96  0  0
 1  0      0 416292  30560 402948    0    0     0     0 2995  977  2  1 98  0  0
 0  0      0 416292  30560 402948    0    0     0     0 3274 1277  3  1 96  0  0
 0  0      0 416416  30560 402948    0    0     0     0 3024 1061  3  1 96  0  0
 0  0      0 416416  30560 402948    0    0     0     0 2664  620  0  1 99  0  0
 0  0      0 416416  30560 402948    0    0     0     0 3191 1200  3  1 96  0  0
 0  0      0 416124  30568 402936    0    0     0    12 3039  989  4  1 95  0  0
 0  0      0 416276  30568 402948    0    0     0     0 2798  733  1  1 98  0  0
 0  0      0 416292  30568 402948    0    0     0     0 2864  834  2  1 98  0  0
 1  0      0 416340  30568 402952    0    0     0     0 2975  960  1  3 96  0  0
 1  0      0 416540  30568 402948    0    0     0     0 2872  822  2  1 97  0  0
 0  0      0 416540  30568 402948    0    0     0     0 2957  989  2  1 97  0  0
 0  0      0 416540  30576 402940    0    0     0    12 2720  696  2  1 97  0  0
 0  0      0 416540  30576 402940    0    0     0     0 2975  946  1  1 98  0  0
 0  0      0 416540  30576 402940    0    0     0    16 2889  902  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 416540  30576 402940    0    0     0     0 3191 1219  3  1 97  0  0
 0  0      0 416540  30576 402940    0    0     0     0 3134 1087  3  1 96  0  0
 1  0      0 416508  30576 402940    0    0     0     0 3122 1128  3  0 97  0  0
 0  0      0 416372  30584 402932    0    0     0    12 3002 1036  1  1 97  0  0
 0  0      0 416524  30584 402948    0    0     0    28 2810  785  2  1 97  0  0
 1  0      0 416540  30584 402948    0    0     0     0 3075 1107  2  1 97  0  0
 0  0      0 416540  30584 402948    0    0     0     0 3157 1222  2  1 97  0  0
 0  0      0 416540  30584 402948    0    0     0     0 2671  609  1  0 99  0  0
 0  0      0 416540  30592 402940    0    0     0    12 2654  573  0  0 100  0  0
 0  0      0 416540  30592 402940    0    0     0     0 3186 1102  4  0 96  0  0
 2  0      0 416508  30592 402940    0    0     0     0 3149 1187  2  1 98  0  0
 0  0      0 416540  30592 402940    0    0     0     0 3212 1225  1  1 98  0  0
 0  0      0 416484  30592 402936    0    0     0     0 3232 1093  1  1 97  0  0
 0  0      0 416540  30600 402948    0    0     0    12 2465  327  0  0 99  0  0
 0  0      0 416540  30600 402948    0    0     0    12 2421  254  1  0 99  0  0
 0  0      0 416508  30600 402948    0    0     0     0 3220 1365  2  2 97  0  0
 0  0      0 416524  30600 402948    0    0     0     0 3084 1147  3  1 97  0  0
 0  0      0 416540  30600 402948    0    0     0     0 3734 1955  3  0 97  0  0
 0  0      0 416468  30600 402948    0    0     0     0 3406 1496  4  2 94  0  0
 0  0      0 416540  30608 402948    0    0     0    24 2971 1052  2  1 97  0  0
 0  0      0 416540  30608 402948    0    0     0     0 2899  744  2  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 416540  30608 402948    0    0     0     0 3235 1263  2  1 97  0  0
 1  0      0 416384  30608 402948    0    0     0     0 2991  964  2  1 97  0  0
 0  0      0 416400  30608 402948    0    0     0     0 2981  967  3  0 97  0  0
 0  0      0 416400  30608 402952    0    0     0     0 3036 1048  1  1 98  0  0
 0  0      0 416416  30616 402948    0    0     0    12 3103 1108  3  0 97  0  0
 1  0      0 416580  30616 402948    0    0     0     0 3229 1155  3  2 95  0  0
 0  0      0 416508  30616 402952    0    0     0     0 3264 1215  1  0 99  0  0
 0  0      0 416540  30616 402952    0    0     0     0 3219 1154  2  0 98  0  0
 1  0      0 416496  30616 402952    0    0     0     0 2886  912  2  1 97  0  0
 0  0      0 416632  30616 402952    0    0     0     0 2649  483  1  0 99  0  0
 0  0      0 416648  30624 402948    0    0     0    12 3140 1004  3  0 96  0  0
 0  0      0 416632  30624 402952    0    0     0     0 2983  958  2  1 97  0  0
 0  0      0 416664  30624 402952    0    0     0     0 2558  533  0  0 100  0  0
 0  0      0 416664  30624 402952    0    0     0     0 2384  257  0  0 100  0  0
 0  0      0 416664  30624 402952    0    0     0     0 2623  587  0  0 100  0  0
 0  0      0 416632  30624 402952    0    0     0     0 3228 1236  2  1 96  0  0
 1  0      0 416664  30632 402948    0    0     0    12 3275 1302  2  1 98  0  0
 0  0      0 416664  30632 402948    0    0     0     0 2992  985  2  1 97  0  0
