procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 410932  30672 402956    0    0    44    28  858  379 17 31 51  0  0
 2  0      0 410956  30672 402960    0    0     0     0 3004  762 12 15 73  0  0
 1  0      0 410956  30672 402960    0    0     0     0 3625 1490 11 16 73  0  0
 1  0      0 410908  30672 402968    0    0     0     0 3340 1185 11 16 73  0  0
 1  0      0 410956  30672 402968    0    0     0     0 2607  374 11 15 75  0  0
 1  0      0 410956  30672 402968    0    0     0     0 2445  183 11 15 75  0  0
 1  0      0 410956  30680 402960    0    0     0    44 3468 1471 12 14 74  0  0
 1  0      0 410956  30680 402968    0    0     0     0 3633 1440 13 14 73  0  0
 1  0      0 410940  30680 402968    0    0     0     0 3723 1518 13 16 71  0  0
 1  0      0 410940  30680 402968    0    0     0     0 3420 1278 11 16 73  0  0
 1  0      0 410940  30680 402968    0    0     0     0 3781 1613 12 15 73  0  0
 2  0      0 410956  30688 402968    0    0     0    24 3837 1661 10 18 72  0  0
 1  0      0 410940  30688 402968    0    0     0     0 3114  962  9 17 74  0  0
 1  0      0 410940  30688 402968    0    0     0    12 3034  830 10 16 74  0  0
 1  0      0 410940  30688 402968    0    0     0     0 2835  667  9 17 74  0  0
 1  0      0 410940  30688 402968    0    0     0     0 2779  552  9 16 74  0  0
 1  0      0 410956  30688 402968    0    0     0     0 3068  852 13 13 74  0  0
 1  0      0 410956  30696 402960    0    0     0    20 3222 1034 11 15 74  0  0
 1  0      0 410908  30696 402968    0    0     0    88 3265 1108  9 18 73  0  0
 1  0      0 410908  30696 402968    0    0     0     0 3023  826  8 18 74  0  0
 1  0      0 410908  30696 402968    0    0     0     0 3279 1059  9 17 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 410844  30696 402968    0    0     0     0 3352 1190 11 17 72  0  0
 1  0      0 410908  30696 402968    0    0     0     0 3365 1227 11 16 73  0  0
 1  0      0 410908  30704 402964    0    0     0    20 2737  525  9 17 75  0  0
 2  0      0 410900  30704 402968    0    0     0     0 3532 1293 13 15 73  0  0
 1  0      0 410924  30704 402976    0    0     0     0 3198 1037 10 17 73  0  0
 1  0      0 410924  30704 402968    0    0     0     0 3601 1411 10 17 73  0  0
 1  0      0 410988  30704 402968    0    0     0     0 3128  947 10 17 73  0  0
 1  0      0 410908  30704 402968    0    0     0     0 3349 1193 10 17 72  0  0
 1  0      0 410908  30712 402960    0    0     0    20 3340 1146  9 17 74  0  0
 2  0      0 410916  30712 402960    0    0     0     0 3375 1175 12 14 74  0  0
 1  0      0 411172  30712 402956    0    0     0     0 3467 1232 10 18 72  0  0
 1  0      0 411164  30712 402968    0    0     0     0 4063 1874 11 16 72  0  0
 1  0      0 411228  30712 402968    0    0     0    16 3732 1584 11 17 73  0  0
 1  0      0 411040  30712 402968    0    0     0     0 3099  954  9 18 73  0  0
 1  0      0 411040  30720 402960    0    0     0    28 3059  868 10 16 74  0  0
 1  0      0 411056  30720 402968    0    0     0     0 3430 1180 11 16 73  0  0
 1  0      0 411056  30720 402968    0    0     0     0 3296 1158 13 15 73  0  0
 1  0      0 411056  30720 402968    0    0     0     0 3324 1142 11 16 73  0  0
 1  0      0 411088  30720 402968    0    0     0     0 3302 1109 10 16 74  0  0
 1  0      0 411000  30720 402968    0    0     0     0 3871 1748 11 17 72  0  0
 1  0      0 411040  30728 402968    0    0     0    20 3575 1367  9 18 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 411040  30728 402968    0    0     0     0 3700 1513 11 17 72  0  0
 1  0      0 411040  30728 402968    0    0     0     0 3252 1115  9 18 73  0  0
 1  0      0 411088  30728 402976    0    0     0     0 3961 1777 12 16 72  0  0
 1  0      0 411040  30728 402972    0    0     0     0 3617 1427 11 16 73  0  0
 1  0      0 411056  30728 402972    0    0     0     0 3416 1198 13 15 72  0  0
 1  0      0 411056  30736 402964    0    0     0    20 3408 1222 13 15 73  0  0
 1  0      0 411056  30736 402964    0    0     0    12 3994 1810 13 15 72  0  0
 1  0      0 411056  30736 402972    0    0     0     0 3470 1302 12 15 73  0  0
 1  0      0 411148  30736 402980    0    0     0     0 3109  898 11 16 72  0  0
 1  0      0 411164  30736 402972    0    0     0     0 3414 1206 12 15 73  0  0
 2  0      0 411164  30736 402972    0    0     0     0 3320 1099 14 14 72  0  0
 1  0      0 411180  30744 402972    0    0     0    36 3247 1077 14 13 73  0  0
 1  0      0 411180  30744 402972    0    0     0     0 3402 1205 11 17 73  0  0
 2  0      0 410836  30744 402976    0    0     0     0 3110  923  8 18 74  0  0
 1  0      0 410932  30744 402972    0    0     0     0 3491 1274 11 17 72  0  0
 1  0      0 410932  30744 402972    0    0     0     0 3609 1390 11 15 73  0  0
 1  0      0 410932  30744 402972    0    0     0     0 3337 1160 10 18 72  0  0
 1  0      0 411072  30752 402972    0    0     0    16 3748 1570 10 17 72  0  0
