procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1    512 372140  31340 431968    0    0    34    15  758  273  4  2 93  0  0
 1  0    512 372164  31344 431976    0    0     0     4 2793  596 10 18 72  0  0
 1  0    512 372164  31344 431976    0    0     0     0 2829  721  9 17 74  0  0
 1  0    512 372164  31344 431976    0    0     0     0 2975  953 12 15 73  0  0
 1  0    512 372164  31344 431976    0    0     0     0 2766  616 11 16 74  0  0
 1  0    512 372164  31344 431976    0    0     0     0 2918  830 10 17 73  0  0
 1  0    512 372164  31352 431968    0    0     0    16 2969  926 10 16 73  0  0
 1  0    512 372164  31352 431968    0    0     0     0 3058 1041 12 15 73  0  0
 1  0    512 372164  31352 431968    0    0     0     0 2664  377 11 15 74  0  0
 1  0    512 372164  31352 431968    0    0     0     0 2734  535 10 16 74  0  0
 1  0    512 372164  31352 431968    0    0     0     0 2854  745  9 17 74  0  0
 1  0    512 372164  31352 431976    0    0     0     4 2900  770  9 19 73  0  0
 1  0    512 372164  31360 431976    0    0     0    20 2751  546  7 19 74  0  0
 1  0    512 372164  31360 431976    0    0     0     0 2706  479 10 16 74  0  0
 1  0    512 372164  31360 431976    0    0     0     0 2829  701  9 17 74  0  0
 1  0    512 372164  31360 431976    0    0     0     0 3038 1056 13 15 72  0  0
 1  0    512 372164  31360 431976    0    0     0   136 3075 1135 11 16 73  0  0
 1  0    512 372164  31368 431976    0    0     0    12 2962  932 11 16 73  0  0
 1  0    512 372164  31368 431976    0    0     0     0 2621  339 10 16 74  0  0
 1  0    512 372164  31368 431976    0    0     0     0 2966  895 10 17 73  0  0
 1  0    512 372164  31368 431976    0    0     0     0 2836  730 11 16 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372164  31368 431976    0    0     0     8 2837  695 10 18 73  0  0
 1  0    512 372164  31368 431976    0    0     0     0 2985 1026 11 16 73  0  0
 1  0    512 372164  31376 431968    0    0     0    12 2864  756 10 17 73  0  0
 1  0    512 372164  31376 431968    0    0     0     0 2889  800 10 17 73  0  0
 1  0    512 372164  31376 431968    0    0     0     0 2645  365  9 17 74  0  0
 1  0    512 372164  31376 431976    0    0     0    40 2886  785 12 16 73  0  0
 1  0    512 372164  31376 431976    0    0     0     0 2944  908 11 16 73  0  0
 1  0    512 372164  31376 431976    0    0     0     0 2835  692 10 17 73  0  0
 1  0    512 372164  31384 431976    0    0     0    32 2687  457 11 15 74  0  0
 1  0    512 372164  31384 431976    0    0     0     0 2967  882  7 21 73  0  0
 1  0    512 372164  31384 431976    0    0     0     4 2907  792 12 15 73  0  0
 1  0    512 372164  31384 431976    0    0     0     0 2737  519  9 17 73  0  0
 1  0    512 372164  31384 431976    0    0     0     0 2910  807 11 16 73  0  0
 1  0    512 372164  31384 431976    0    0     0     0 3098 1140  8 20 72  0  0
 1  0    512 372164  31392 431968    0    0     0    12 2860  717  9 17 73  0  0
 1  0    512 372164  31392 431968    0    0     0     0 2623  352 10 16 74  0  0
 1  0    512 372164  31392 431968    0    0     0     0 2955  897 11 16 73  0  0
 1  0    512 372164  31392 431968    0    0     0     0 3008  968 12 16 73  0  0
 1  0    512 372164  31392 431968    0    0     0     0 2945  848 11 17 72  0  0
 1  0    512 372164  31400 431960    0    0     0    12 2861  725  9 17 73  0  0
 1  0    512 372164  31400 431960    0    0     0     0 2975  921 10 18 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372164  31400 431960    0    0     0     0 2721  505 11 15 74  0  0
 1  0    512 372164  31400 431960    0    0     0     0 2757  568 10 16 74  0  0
 3  0    512 372164  31400 431960    0    0     0     0 2859  734 12 15 73  0  0
 1  0    512 372164  31408 431980    0    0     0    12 2924  830  9 18 73  0  0
